areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Croydon,E09000008,2023-04-12,8,136463,2,126319,6,10144
ltla,Croydon,E09000008,2023-04-11,12,136455,10,126317,2,10138
ltla,Croydon,E09000008,2023-04-10,6,136443,4,126307,2,10136
ltla,Croydon,E09000008,2023-04-09,5,136437,4,126303,1,10134
ltla,Croydon,E09000008,2023-04-08,6,136432,3,126299,3,10133
ltla,Croydon,E09000008,2023-04-07,14,136426,8,126296,6,10130
ltla,Croydon,E09000008,2023-04-06,12,136412,10,126288,2,10124
ltla,Croydon,E09000008,2023-04-05,10,136400,8,126278,2,10122
ltla,Croydon,E09000008,2023-04-04,7,136390,3,126270,4,10120
ltla,Croydon,E09000008,2023-04-03,8,136383,6,126267,2,10116
ltla,Croydon,E09000008,2023-04-02,13,136375,8,126261,5,10114
ltla,Croydon,E09000008,2023-04-01,10,136362,7,126253,3,10109
ltla,Croydon,E09000008,2023-03-31,7,136352,4,126246,3,10106
ltla,Croydon,E09000008,2023-03-30,6,136345,5,126242,1,10103
ltla,Croydon,E09000008,2023-03-29,14,136339,9,126237,5,10102
ltla,Croydon,E09000008,2023-03-28,14,136325,10,126228,4,10097
ltla,Croydon,E09000008,2023-03-27,16,136311,8,126218,8,10093
ltla,Croydon,E09000008,2023-03-26,11,136295,6,126210,5,10085
ltla,Croydon,E09000008,2023-03-25,19,136284,15,126204,4,10080
ltla,Croydon,E09000008,2023-03-24,16,136265,8,126189,8,10076
ltla,Croydon,E09000008,2023-03-23,11,136249,7,126181,4,10068
ltla,Croydon,E09000008,2023-03-22,15,136238,7,126174,8,10064
ltla,Croydon,E09000008,2023-03-21,16,136223,9,126167,7,10056
ltla,Croydon,E09000008,2023-03-20,10,136207,5,126158,5,10049
ltla,Croydon,E09000008,2023-03-19,13,136197,7,126153,6,10044
