areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Hammersmith and Fulham,E09000013,2023-04-12,2,69213,1,64584,1,4629
ltla,Hammersmith and Fulham,E09000013,2023-04-11,6,69211,4,64583,2,4628
ltla,Hammersmith and Fulham,E09000013,2023-04-10,2,69205,2,64579,0,4626
ltla,Hammersmith and Fulham,E09000013,2023-04-09,3,69203,3,64577,0,4626
ltla,Hammersmith and Fulham,E09000013,2023-04-08,2,69200,2,64574,0,4626
ltla,Hammersmith and Fulham,E09000013,2023-04-07,6,69198,3,64572,3,4626
ltla,Hammersmith and Fulham,E09000013,2023-04-06,3,69192,2,64569,1,4623
ltla,Hammersmith and Fulham,E09000013,2023-04-05,3,69189,0,64567,3,69189
ltla,Hammersmith and Fulham,E09000013,2023-04-04,5,69186,4,64567,1,4619
ltla,Hammersmith and Fulham,E09000013,2023-04-03,6,69181,5,64563,1,4618
ltla,Hammersmith and Fulham,E09000013,2023-04-02,9,69175,6,64558,3,4617
ltla,Hammersmith and Fulham,E09000013,2023-04-01,3,69166,2,64552,1,4614
ltla,Hammersmith and Fulham,E09000013,2023-03-31,6,69163,3,64550,3,4613
ltla,Hammersmith and Fulham,E09000013,2023-03-30,10,69157,3,64547,7,4610
ltla,Hammersmith and Fulham,E09000013,2023-03-29,9,69147,6,64544,3,4603
ltla,Hammersmith and Fulham,E09000013,2023-03-28,8,69138,6,64538,2,4600
ltla,Hammersmith and Fulham,E09000013,2023-03-27,6,69130,4,64532,2,4598
ltla,Hammersmith and Fulham,E09000013,2023-03-26,7,69124,5,64528,2,4596
ltla,Hammersmith and Fulham,E09000013,2023-03-25,6,69117,6,64523,0,4594
ltla,Hammersmith and Fulham,E09000013,2023-03-24,16,69111,11,64517,5,4594
ltla,Hammersmith and Fulham,E09000013,2023-03-23,10,69095,7,64506,3,4589
ltla,Hammersmith and Fulham,E09000013,2023-03-22,6,69085,4,64499,2,4586
ltla,Hammersmith and Fulham,E09000013,2023-03-21,10,69079,8,64495,2,4584
ltla,Hammersmith and Fulham,E09000013,2023-03-20,12,69069,8,64487,4,4582
ltla,Hammersmith and Fulham,E09000013,2023-03-19,4,69057,2,64479,2,4578
ltla,Hammersmith and Fulham,E09000013,2023-03-18,15,69053,8,64477,7,4576
ltla,Hammersmith and Fulham,E09000013,2023-03-17,7,69038,4,64469,3,4569
ltla,Hammersmith and Fulham,E09000013,2023-03-16,6,69031,4,64465,2,4566
ltla,Hammersmith and Fulham,E09000013,2023-03-15,7,69025,5,64461,2,4564
ltla,Hammersmith and Fulham,E09000013,2023-03-14,15,69018,10,64456,5,4562
ltla,Hammersmith and Fulham,E09000013,2023-03-13,11,69003,7,64446,4,4557
ltla,Hammersmith and Fulham,E09000013,2023-03-12,12,68992,9,64439,3,4553
ltla,Hammersmith and Fulham,E09000013,2023-03-11,7,68980,4,64430,3,4550
ltla,Hammersmith and Fulham,E09000013,2023-03-10,6,68973,5,64426,1,4547
ltla,Hammersmith and Fulham,E09000013,2023-03-09,15,68967,13,64421,2,4546
ltla,Hammersmith and Fulham,E09000013,2023-03-08,10,68952,4,64408,6,4544
ltla,Hammersmith and Fulham,E09000013,2023-03-07,13,68942,5,64404,8,4538
ltla,Hammersmith and Fulham,E09000013,2023-03-06,16,68929,9,64399,7,4530
ltla,Hammersmith and Fulham,E09000013,2023-03-05,14,68913,7,64390,7,4523
ltla,Hammersmith and Fulham,E09000013,2023-03-04,8,68899,5,64383,3,4516
ltla,Hammersmith and Fulham,E09000013,2023-03-03,5,68891,1,64378,4,4513
ltla,Hammersmith and Fulham,E09000013,2023-03-02,10,68886,6,64377,4,4509
ltla,Hammersmith and Fulham,E09000013,2023-03-01,10,68876,5,64371,5,4505
ltla,Hammersmith and Fulham,E09000013,2023-02-28,8,68866,6,64366,2,4500
ltla,Hammersmith and Fulham,E09000013,2023-02-27,14,68858,9,64360,5,4498
ltla,Hammersmith and Fulham,E09000013,2023-02-26,7,68844,5,64351,2,4493
ltla,Hammersmith and Fulham,E09000013,2023-02-25,5,68837,1,64346,4,4491
ltla,Hammersmith and Fulham,E09000013,2023-02-24,10,68832,4,64345,6,4487
ltla,Hammersmith and Fulham,E09000013,2023-02-23,8,68822,3,64341,5,4481
ltla,Hammersmith and Fulham,E09000013,2023-02-22,9,68814,4,64338,5,4476
ltla,Hammersmith and Fulham,E09000013,2023-02-21,12,68805,6,64334,6,4471
