areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Islington,E09000019,2023-04-12,1,81847,1,76060,0,5787
ltla,Islington,E09000019,2023-04-11,2,81846,1,76059,1,5787
ltla,Islington,E09000019,2023-04-10,3,81844,2,76058,1,5786
ltla,Islington,E09000019,2023-04-09,4,81841,2,76056,2,5785
ltla,Islington,E09000019,2023-04-08,2,81837,1,76054,1,5783
ltla,Islington,E09000019,2023-04-07,4,81835,4,76053,0,5782
ltla,Islington,E09000019,2023-04-06,2,81831,2,76049,0,5782
ltla,Islington,E09000019,2023-04-05,2,81829,1,76047,1,5782
ltla,Islington,E09000019,2023-04-04,3,81827,1,76046,2,5781
ltla,Islington,E09000019,2023-04-03,3,81824,1,76045,2,5779
ltla,Islington,E09000019,2023-04-02,2,81821,1,76044,1,5777
ltla,Islington,E09000019,2023-04-01,7,81819,5,76043,2,5776
ltla,Islington,E09000019,2023-03-31,8,81812,7,76038,1,5774
ltla,Islington,E09000019,2023-03-30,10,81804,8,76031,2,5773
ltla,Islington,E09000019,2023-03-29,7,81794,5,76023,2,5771
ltla,Islington,E09000019,2023-03-28,14,81787,9,76018,5,5769
ltla,Islington,E09000019,2023-03-27,7,81773,6,76009,1,5764
ltla,Islington,E09000019,2023-03-26,11,81766,6,76003,5,5763
ltla,Islington,E09000019,2023-03-25,5,81755,3,75997,2,5758
ltla,Islington,E09000019,2023-03-24,11,81750,6,75994,5,5756
ltla,Islington,E09000019,2023-03-23,7,81739,5,75988,2,5751
ltla,Islington,E09000019,2023-03-22,12,81732,5,75983,7,5749
ltla,Islington,E09000019,2023-03-21,10,81720,7,75978,3,5742
ltla,Islington,E09000019,2023-03-20,8,81710,7,75971,1,5739
ltla,Islington,E09000019,2023-03-19,17,81702,9,75964,8,5738
ltla,Islington,E09000019,2023-03-18,12,81685,8,75955,4,5730
ltla,Islington,E09000019,2023-03-17,6,81673,4,75947,2,5726
ltla,Islington,E09000019,2023-03-16,12,81667,6,75943,6,5724
ltla,Islington,E09000019,2023-03-15,13,81655,7,75937,6,5718
ltla,Islington,E09000019,2023-03-14,10,81642,6,75930,4,5712
ltla,Islington,E09000019,2023-03-13,15,81632,13,75924,2,5708
ltla,Islington,E09000019,2023-03-12,10,81617,5,75911,5,5706
ltla,Islington,E09000019,2023-03-11,12,81607,8,75906,4,5701
