areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Kingston upon Thames,E09000021,2023-04-12,3,66210,3,61610,0,4600
ltla,Kingston upon Thames,E09000021,2023-04-11,4,66207,2,61607,2,4600
ltla,Kingston upon Thames,E09000021,2023-04-10,4,66203,1,61605,3,4598
ltla,Kingston upon Thames,E09000021,2023-04-09,7,66199,3,61604,4,4595
ltla,Kingston upon Thames,E09000021,2023-04-08,3,66192,0,61601,3,66192
ltla,Kingston upon Thames,E09000021,2023-04-07,0,66189,0,61601,0,4588
ltla,Kingston upon Thames,E09000021,2023-04-06,4,66189,3,61601,1,4588
ltla,Kingston upon Thames,E09000021,2023-04-05,2,66185,0,61598,2,66185
ltla,Kingston upon Thames,E09000021,2023-04-04,3,66183,3,61598,0,4585
ltla,Kingston upon Thames,E09000021,2023-04-03,5,66180,3,61595,2,4585
ltla,Kingston upon Thames,E09000021,2023-04-02,8,66175,6,61592,2,4583
ltla,Kingston upon Thames,E09000021,2023-04-01,2,66167,2,61586,0,4581
ltla,Kingston upon Thames,E09000021,2023-03-31,5,66165,4,61584,1,4581
ltla,Kingston upon Thames,E09000021,2023-03-30,4,66160,1,61580,3,4580
ltla,Kingston upon Thames,E09000021,2023-03-29,9,66156,4,61579,5,4577
ltla,Kingston upon Thames,E09000021,2023-03-28,7,66147,3,61575,4,4572
ltla,Kingston upon Thames,E09000021,2023-03-27,4,66140,2,61572,2,4568
ltla,Kingston upon Thames,E09000021,2023-03-26,4,66136,3,61570,1,4566
ltla,Kingston upon Thames,E09000021,2023-03-25,5,66132,3,61567,2,4565
ltla,Kingston upon Thames,E09000021,2023-03-24,5,66127,1,61564,4,4563
ltla,Kingston upon Thames,E09000021,2023-03-23,5,66122,4,61563,1,4559
ltla,Kingston upon Thames,E09000021,2023-03-22,9,66117,5,61559,4,4558
ltla,Kingston upon Thames,E09000021,2023-03-21,8,66108,4,61554,4,4554
ltla,Kingston upon Thames,E09000021,2023-03-20,5,66100,1,61550,4,4550
ltla,Kingston upon Thames,E09000021,2023-03-19,7,66095,4,61549,3,4546
ltla,Kingston upon Thames,E09000021,2023-03-18,10,66088,4,61545,6,4543
ltla,Kingston upon Thames,E09000021,2023-03-17,14,66078,5,61541,9,4537
ltla,Kingston upon Thames,E09000021,2023-03-16,11,66064,9,61536,2,4528
ltla,Kingston upon Thames,E09000021,2023-03-15,16,66053,11,61527,5,4526
ltla,Kingston upon Thames,E09000021,2023-03-14,14,66037,8,61516,6,4521
ltla,Kingston upon Thames,E09000021,2023-03-13,16,66023,10,61508,6,4515
ltla,Kingston upon Thames,E09000021,2023-03-12,16,66007,9,61498,7,4509
ltla,Kingston upon Thames,E09000021,2023-03-11,9,65991,6,61489,3,4502
ltla,Kingston upon Thames,E09000021,2023-03-10,6,65982,4,61483,2,4499
ltla,Kingston upon Thames,E09000021,2023-03-09,4,65976,1,61479,3,4497
ltla,Kingston upon Thames,E09000021,2023-03-08,10,65972,5,61478,5,4494
ltla,Kingston upon Thames,E09000021,2023-03-07,12,65962,6,61473,6,4489
ltla,Kingston upon Thames,E09000021,2023-03-06,6,65950,5,61467,1,4483
ltla,Kingston upon Thames,E09000021,2023-03-05,5,65944,3,61462,2,4482
ltla,Kingston upon Thames,E09000021,2023-03-04,8,65939,4,61459,4,4480
ltla,Kingston upon Thames,E09000021,2023-03-03,9,65931,4,61455,5,4476
ltla,Kingston upon Thames,E09000021,2023-03-02,7,65922,5,61451,2,4471
ltla,Kingston upon Thames,E09000021,2023-03-01,9,65915,3,61446,6,4469
