areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Brent,E09000005,2023-04-12,0,111462,0,104125,0,7337
ltla,Brent,E09000005,2023-04-11,13,111462,11,104125,2,7337
ltla,Brent,E09000005,2023-04-10,7,111449,6,104114,1,7335
ltla,Brent,E09000005,2023-04-09,8,111442,7,104108,1,7334
ltla,Brent,E09000005,2023-04-08,3,111434,1,104101,2,7333
ltla,Brent,E09000005,2023-04-07,6,111431,2,104100,4,7331
ltla,Brent,E09000005,2023-04-06,7,111425,5,104098,2,7327
ltla,Brent,E09000005,2023-04-05,6,111418,4,104093,2,7325
ltla,Brent,E09000005,2023-04-04,10,111412,7,104089,3,7323
ltla,Brent,E09000005,2023-04-03,8,111402,4,104082,4,7320
ltla,Brent,E09000005,2023-04-02,9,111394,4,104078,5,7316
ltla,Brent,E09000005,2023-04-01,5,111385,1,104074,4,7311
ltla,Brent,E09000005,2023-03-31,13,111380,9,104073,4,7307
ltla,Brent,E09000005,2023-03-30,11,111367,8,104064,3,7303
ltla,Brent,E09000005,2023-03-29,11,111356,7,104056,4,7300
ltla,Brent,E09000005,2023-03-28,17,111345,9,104049,8,7296
ltla,Brent,E09000005,2023-03-27,9,111328,6,104040,3,7288
ltla,Brent,E09000005,2023-03-26,12,111319,5,104034,7,7285
ltla,Brent,E09000005,2023-03-25,13,111307,8,104029,5,7278
ltla,Brent,E09000005,2023-03-24,13,111294,10,104021,3,7273
ltla,Brent,E09000005,2023-03-23,11,111281,9,104011,2,7270
ltla,Brent,E09000005,2023-03-22,20,111270,10,104002,10,7268
ltla,Brent,E09000005,2023-03-21,13,111250,8,103992,5,7258
ltla,Brent,E09000005,2023-03-20,13,111237,7,103984,6,7253
ltla,Brent,E09000005,2023-03-19,10,111224,4,103977,6,7247
ltla,Brent,E09000005,2023-03-18,6,111214,5,103973,1,7241
ltla,Brent,E09000005,2023-03-17,10,111208,5,103968,5,7240
ltla,Brent,E09000005,2023-03-16,8,111198,4,103963,4,7235
ltla,Brent,E09000005,2023-03-15,10,111190,5,103959,5,7231
ltla,Brent,E09000005,2023-03-14,17,111180,9,103954,8,7226
ltla,Brent,E09000005,2023-03-13,18,111163,13,103945,5,7218
ltla,Brent,E09000005,2023-03-12,16,111145,11,103932,5,7213
ltla,Brent,E09000005,2023-03-11,8,111129,5,103921,3,7208
ltla,Brent,E09000005,2023-03-10,19,111121,8,103916,11,7205
ltla,Brent,E09000005,2023-03-09,11,111102,5,103908,6,7194
ltla,Brent,E09000005,2023-03-08,14,111091,7,103903,7,7188
ltla,Brent,E09000005,2023-03-07,14,111077,7,103896,7,7181
ltla,Brent,E09000005,2023-03-06,28,111063,23,103889,5,7174
ltla,Brent,E09000005,2023-03-05,10,111035,6,103866,4,7169
