areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Havering,E09000016,2023-04-12,7,98127,5,90289,2,7838
ltla,Havering,E09000016,2023-04-11,9,98120,9,90284,0,7836
ltla,Havering,E09000016,2023-04-10,3,98111,2,90275,1,7836
ltla,Havering,E09000016,2023-04-09,8,98108,5,90273,3,7835
ltla,Havering,E09000016,2023-04-08,4,98100,3,90268,1,7832
ltla,Havering,E09000016,2023-04-07,6,98096,4,90265,2,7831
ltla,Havering,E09000016,2023-04-06,3,98090,3,90261,0,7829
ltla,Havering,E09000016,2023-04-05,12,98087,8,90258,4,7829
ltla,Havering,E09000016,2023-04-04,5,98075,4,90250,1,7825
ltla,Havering,E09000016,2023-04-03,8,98070,6,90246,2,7824
ltla,Havering,E09000016,2023-04-02,5,98062,2,90240,3,7822
ltla,Havering,E09000016,2023-04-01,6,98057,3,90238,3,7819
ltla,Havering,E09000016,2023-03-31,10,98051,7,90235,3,7816
ltla,Havering,E09000016,2023-03-30,11,98041,6,90228,5,7813
ltla,Havering,E09000016,2023-03-29,12,98030,6,90222,6,7808
ltla,Havering,E09000016,2023-03-28,11,98018,7,90216,4,7802
ltla,Havering,E09000016,2023-03-27,12,98007,4,90209,8,7798
ltla,Havering,E09000016,2023-03-26,8,97995,6,90205,2,7790
ltla,Havering,E09000016,2023-03-25,9,97987,6,90199,3,7788
ltla,Havering,E09000016,2023-03-24,19,97978,12,90193,7,7785
ltla,Havering,E09000016,2023-03-23,15,97959,8,90181,7,7778
ltla,Havering,E09000016,2023-03-22,12,97944,7,90173,5,7771
ltla,Havering,E09000016,2023-03-21,23,97932,17,90166,6,7766
ltla,Havering,E09000016,2023-03-20,16,97909,10,90149,6,7760
ltla,Havering,E09000016,2023-03-19,9,97893,3,90139,6,7754
ltla,Havering,E09000016,2023-03-18,10,97884,6,90136,4,7748
ltla,Havering,E09000016,2023-03-17,7,97874,5,90130,2,7744
ltla,Havering,E09000016,2023-03-16,15,97867,9,90125,6,7742
ltla,Havering,E09000016,2023-03-15,10,97852,6,90116,4,7736
ltla,Havering,E09000016,2023-03-14,14,97842,7,90110,7,7732
ltla,Havering,E09000016,2023-03-13,21,97828,18,90103,3,7725
ltla,Havering,E09000016,2023-03-12,20,97807,12,90085,8,7722
ltla,Havering,E09000016,2023-03-11,7,97787,3,90073,4,7714
ltla,Havering,E09000016,2023-03-10,10,97780,5,90070,5,7710
ltla,Havering,E09000016,2023-03-09,18,97770,12,90065,6,7705
ltla,Havering,E09000016,2023-03-08,16,97752,9,90053,7,7699
ltla,Havering,E09000016,2023-03-07,14,97736,9,90044,5,7692
ltla,Havering,E09000016,2023-03-06,14,97722,8,90035,6,7687
ltla,Havering,E09000016,2023-03-05,19,97708,11,90027,8,7681
ltla,Havering,E09000016,2023-03-04,8,97689,6,90016,2,7673
ltla,Havering,E09000016,2023-03-03,9,97681,5,90010,4,7671
ltla,Havering,E09000016,2023-03-02,6,97672,4,90005,2,7667
ltla,Havering,E09000016,2023-03-01,19,97666,10,90001,9,7665
ltla,Havering,E09000016,2023-02-28,15,97647,6,89991,9,7656
ltla,Havering,E09000016,2023-02-27,18,97632,8,89985,10,7647
ltla,Havering,E09000016,2023-02-26,8,97614,5,89977,3,7637
ltla,Havering,E09000016,2023-02-25,8,97606,5,89972,3,7634
ltla,Havering,E09000016,2023-02-24,12,97598,7,89967,5,7631
ltla,Havering,E09000016,2023-02-23,15,97586,8,89960,7,7626
ltla,Havering,E09000016,2023-02-22,20,97571,12,89952,8,7619
ltla,Havering,E09000016,2023-02-21,15,97551,9,89940,6,7611
ltla,Havering,E09000016,2023-02-20,15,97536,8,89931,7,7605
ltla,Havering,E09000016,2023-02-19,13,97521,9,89923,4,7598
ltla,Havering,E09000016,2023-02-18,12,97508,5,89914,7,7594
ltla,Havering,E09000016,2023-02-17,17,97496,8,89909,9,7587
ltla,Havering,E09000016,2023-02-16,13,97479,5,89901,8,7578
ltla,Havering,E09000016,2023-02-15,12,97466,8,89896,4,7570
ltla,Havering,E09000016,2023-02-14,17,97454,10,89888,7,7566
ltla,Havering,E09000016,2023-02-13,15,97437,4,89878,11,7559
ltla,Havering,E09000016,2023-02-12,7,97422,2,89874,5,7548
ltla,Havering,E09000016,2023-02-11,13,97415,7,89872,6,7543
ltla,Havering,E09000016,2023-02-10,9,97402,7,89865,2,7537
ltla,Havering,E09000016,2023-02-09,15,97393,10,89858,5,7535
ltla,Havering,E09000016,2023-02-08,17,97378,9,89848,8,7530
ltla,Havering,E09000016,2023-02-07,11,97361,10,89839,1,7522
ltla,Havering,E09000016,2023-02-06,15,97350,5,89829,10,7521
ltla,Havering,E09000016,2023-02-05,9,97335,4,89824,5,7511
ltla,Havering,E09000016,2023-02-04,10,97326,6,89820,4,7506
ltla,Havering,E09000016,2023-02-03,7,97316,6,89814,1,7502
ltla,Havering,E09000016,2023-02-02,15,97309,7,89808,8,7501
ltla,Havering,E09000016,2023-02-01,20,97294,12,89801,8,7493
ltla,Havering,E09000016,2023-01-31,9,97274,5,89789,4,7485
ltla,Havering,E09000016,2023-01-30,10,97265,5,89784,5,7481
ltla,Havering,E09000016,2023-01-29,10,97255,4,89779,6,7476
ltla,Havering,E09000016,2023-01-28,7,97245,5,89775,2,7470
ltla,Havering,E09000016,2023-01-27,6,97238,5,89770,1,7468
ltla,Havering,E09000016,2023-01-26,8,97232,3,89765,5,7467
ltla,Havering,E09000016,2023-01-25,9,97224,4,89762,5,7462
ltla,Havering,E09000016,2023-01-24,8,97215,5,89758,3,7457
ltla,Havering,E09000016,2023-01-23,6,97207,5,89753,1,7454
ltla,Havering,E09000016,2023-01-22,5,97201,3,89748,2,7453
ltla,Havering,E09000016,2023-01-21,2,97196,1,89745,1,7451
ltla,Havering,E09000016,2023-01-20,5,97194,3,89744,2,7450
ltla,Havering,E09000016,2023-01-19,12,97189,7,89741,5,7448
ltla,Havering,E09000016,2023-01-18,17,97177,7,89734,10,7443
ltla,Havering,E09000016,2023-01-17,4,97160,2,89727,2,7433
ltla,Havering,E09000016,2023-01-16,7,97156,3,89725,4,7431
ltla,Havering,E09000016,2023-01-15,5,97149,5,89722,0,7427
ltla,Havering,E09000016,2023-01-14,10,97144,8,89717,2,7427
ltla,Havering,E09000016,2023-01-13,4,97134,2,89709,2,7425
ltla,Havering,E09000016,2023-01-12,9,97130,4,89707,5,7423
ltla,Havering,E09000016,2023-01-11,12,97121,9,89703,3,7418
ltla,Havering,E09000016,2023-01-10,17,97109,10,89694,7,7415
ltla,Havering,E09000016,2023-01-09,18,97092,8,89684,10,7408
ltla,Havering,E09000016,2023-01-08,15,97074,9,89676,6,7398
ltla,Havering,E09000016,2023-01-07,7,97059,6,89667,1,7392
ltla,Havering,E09000016,2023-01-06,10,97052,8,89661,2,7391
ltla,Havering,E09000016,2023-01-05,21,97042,11,89653,10,7389
ltla,Havering,E09000016,2023-01-04,24,97021,12,89642,12,7379
ltla,Havering,E09000016,2023-01-03,18,96997,13,89630,5,7367
ltla,Havering,E09000016,2023-01-02,14,96979,7,89617,7,7362
ltla,Havering,E09000016,2023-01-01,28,96965,17,89610,11,7355
