areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Richmond upon Thames,E09000027,2023-04-12,3,73392,2,68813,1,4579
ltla,Richmond upon Thames,E09000027,2023-04-11,6,73389,3,68811,3,4578
ltla,Richmond upon Thames,E09000027,2023-04-10,7,73383,5,68808,2,4575
ltla,Richmond upon Thames,E09000027,2023-04-09,3,73376,3,68803,0,4573
ltla,Richmond upon Thames,E09000027,2023-04-08,2,73373,1,68800,1,4573
ltla,Richmond upon Thames,E09000027,2023-04-07,4,73371,2,68799,2,4572
ltla,Richmond upon Thames,E09000027,2023-04-06,4,73367,3,68797,1,4570
ltla,Richmond upon Thames,E09000027,2023-04-05,1,73363,1,68794,0,4569
ltla,Richmond upon Thames,E09000027,2023-04-04,4,73362,2,68793,2,4569
ltla,Richmond upon Thames,E09000027,2023-04-03,5,73358,2,68791,3,4567
ltla,Richmond upon Thames,E09000027,2023-04-02,2,73353,2,68789,0,4564
ltla,Richmond upon Thames,E09000027,2023-04-01,8,73351,5,68787,3,4564
ltla,Richmond upon Thames,E09000027,2023-03-31,5,73343,2,68782,3,4561
ltla,Richmond upon Thames,E09000027,2023-03-30,8,73338,3,68780,5,4558
ltla,Richmond upon Thames,E09000027,2023-03-29,6,73330,3,68777,3,4553
ltla,Richmond upon Thames,E09000027,2023-03-28,5,73324,3,68774,2,4550
ltla,Richmond upon Thames,E09000027,2023-03-27,11,73319,8,68771,3,4548
ltla,Richmond upon Thames,E09000027,2023-03-26,7,73308,3,68763,4,4545
ltla,Richmond upon Thames,E09000027,2023-03-25,6,73301,3,68760,3,4541
ltla,Richmond upon Thames,E09000027,2023-03-24,6,73295,3,68757,3,4538
ltla,Richmond upon Thames,E09000027,2023-03-23,9,73289,5,68754,4,4535
ltla,Richmond upon Thames,E09000027,2023-03-22,11,73280,7,68749,4,4531
ltla,Richmond upon Thames,E09000027,2023-03-21,10,73269,6,68742,4,4527
ltla,Richmond upon Thames,E09000027,2023-03-20,16,73259,9,68736,7,4523
ltla,Richmond upon Thames,E09000027,2023-03-19,17,73243,11,68727,6,4516
ltla,Richmond upon Thames,E09000027,2023-03-18,11,73226,8,68716,3,4510
ltla,Richmond upon Thames,E09000027,2023-03-17,9,73215,7,68708,2,4507
ltla,Richmond upon Thames,E09000027,2023-03-16,8,73206,3,68701,5,4505
ltla,Richmond upon Thames,E09000027,2023-03-15,17,73198,13,68698,4,4500
ltla,Richmond upon Thames,E09000027,2023-03-14,20,73181,11,68685,9,4496
ltla,Richmond upon Thames,E09000027,2023-03-13,12,73161,8,68674,4,4487
ltla,Richmond upon Thames,E09000027,2023-03-12,10,73149,4,68666,6,4483
ltla,Richmond upon Thames,E09000027,2023-03-11,4,73139,2,68662,2,4477
ltla,Richmond upon Thames,E09000027,2023-03-10,13,73135,8,68660,5,4475
ltla,Richmond upon Thames,E09000027,2023-03-09,9,73122,4,68652,5,4470
ltla,Richmond upon Thames,E09000027,2023-03-08,15,73113,10,68648,5,4465
ltla,Richmond upon Thames,E09000027,2023-03-07,11,73098,8,68638,3,4460
ltla,Richmond upon Thames,E09000027,2023-03-06,10,73087,6,68630,4,4457
ltla,Richmond upon Thames,E09000027,2023-03-05,6,73077,4,68624,2,4453
ltla,Richmond upon Thames,E09000027,2023-03-04,3,73071,1,68620,2,4451
ltla,Richmond upon Thames,E09000027,2023-03-03,4,73068,1,68619,3,4449
ltla,Richmond upon Thames,E09000027,2023-03-02,7,73064,3,68618,4,4446
ltla,Richmond upon Thames,E09000027,2023-03-01,14,73057,6,68615,8,4442
