areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Camden,E09000007,2023-04-12,2,80079,2,74987,0,5092
ltla,Camden,E09000007,2023-04-11,5,80077,4,74985,1,5092
ltla,Camden,E09000007,2023-04-10,6,80072,5,74981,1,5091
ltla,Camden,E09000007,2023-04-09,7,80066,3,74976,4,5090
ltla,Camden,E09000007,2023-04-08,4,80059,3,74973,1,5086
ltla,Camden,E09000007,2023-04-07,6,80055,3,74970,3,5085
ltla,Camden,E09000007,2023-04-06,6,80049,4,74967,2,5082
ltla,Camden,E09000007,2023-04-05,9,80043,7,74963,2,5080
ltla,Camden,E09000007,2023-04-04,5,80034,3,74956,2,5078
ltla,Camden,E09000007,2023-04-03,5,80029,5,74953,0,5076
ltla,Camden,E09000007,2023-04-02,5,80024,3,74948,2,5076
ltla,Camden,E09000007,2023-04-01,3,80019,3,74945,0,5074
ltla,Camden,E09000007,2023-03-31,5,80016,3,74942,2,5074
ltla,Camden,E09000007,2023-03-30,7,80011,4,74939,3,5072
ltla,Camden,E09000007,2023-03-29,6,80004,5,74935,1,5069
ltla,Camden,E09000007,2023-03-28,7,79998,5,74930,2,5068
ltla,Camden,E09000007,2023-03-27,9,79991,5,74925,4,5066
ltla,Camden,E09000007,2023-03-26,8,79982,5,74920,3,5062
ltla,Camden,E09000007,2023-03-25,8,79974,4,74915,4,5059
ltla,Camden,E09000007,2023-03-24,7,79966,7,74911,0,5055
ltla,Camden,E09000007,2023-03-23,11,79959,4,74904,7,5055
ltla,Camden,E09000007,2023-03-22,14,79948,6,74900,8,5048
ltla,Camden,E09000007,2023-03-21,9,79934,8,74894,1,5040
ltla,Camden,E09000007,2023-03-20,15,79925,10,74886,5,5039
ltla,Camden,E09000007,2023-03-19,13,79910,10,74876,3,5034
ltla,Camden,E09000007,2023-03-18,10,79897,6,74866,4,5031
ltla,Camden,E09000007,2023-03-17,6,79887,3,74860,3,5027
ltla,Camden,E09000007,2023-03-16,15,79881,10,74857,5,5024
ltla,Camden,E09000007,2023-03-15,13,79866,11,74847,2,5019
ltla,Camden,E09000007,2023-03-14,7,79853,4,74836,3,5017
ltla,Camden,E09000007,2023-03-13,19,79846,11,74832,8,5014
ltla,Camden,E09000007,2023-03-12,15,79827,9,74821,6,5006
ltla,Camden,E09000007,2023-03-11,9,79812,7,74812,2,5000
ltla,Camden,E09000007,2023-03-10,7,79803,3,74805,4,4998
ltla,Camden,E09000007,2023-03-09,9,79796,6,74802,3,4994
ltla,Camden,E09000007,2023-03-08,13,79787,7,74796,6,4991
ltla,Camden,E09000007,2023-03-07,8,79774,4,74789,4,4985
ltla,Camden,E09000007,2023-03-06,13,79766,8,74785,5,4981
ltla,Camden,E09000007,2023-03-05,13,79753,7,74777,6,4976
ltla,Camden,E09000007,2023-03-04,7,79740,4,74770,3,4970
ltla,Camden,E09000007,2023-03-03,11,79733,8,74766,3,4967
ltla,Camden,E09000007,2023-03-02,11,79722,6,74758,5,4964
ltla,Camden,E09000007,2023-03-01,5,79711,3,74752,2,4959
ltla,Camden,E09000007,2023-02-28,15,79706,8,74749,7,4957
ltla,Camden,E09000007,2023-02-27,6,79691,3,74741,3,4950
ltla,Camden,E09000007,2023-02-26,9,79685,3,74738,6,4947
ltla,Camden,E09000007,2023-02-25,3,79676,2,74735,1,4941
ltla,Camden,E09000007,2023-02-24,8,79673,6,74733,2,4940
ltla,Camden,E09000007,2023-02-23,10,79665,5,74727,5,4938
ltla,Camden,E09000007,2023-02-22,11,79655,5,74722,6,4933
ltla,Camden,E09000007,2023-02-21,6,79644,2,74717,4,4927
ltla,Camden,E09000007,2023-02-20,23,79638,11,74715,12,4923
ltla,Camden,E09000007,2023-02-19,10,79615,5,74704,5,4911
ltla,Camden,E09000007,2023-02-18,12,79605,10,74699,2,4906
ltla,Camden,E09000007,2023-02-17,5,79593,3,74689,2,4904
ltla,Camden,E09000007,2023-02-16,8,79588,5,74686,3,4902
ltla,Camden,E09000007,2023-02-15,15,79580,10,74681,5,4899
ltla,Camden,E09000007,2023-02-14,11,79565,6,74671,5,4894
ltla,Camden,E09000007,2023-02-13,11,79554,6,74665,5,4889
ltla,Camden,E09000007,2023-02-12,13,79543,7,74659,6,4884
ltla,Camden,E09000007,2023-02-11,8,79530,6,74652,2,4878
ltla,Camden,E09000007,2023-02-10,10,79522,5,74646,5,4876
ltla,Camden,E09000007,2023-02-09,12,79512,11,74641,1,4871
ltla,Camden,E09000007,2023-02-08,8,79500,5,74630,3,4870
ltla,Camden,E09000007,2023-02-07,12,79492,9,74625,3,4867
ltla,Camden,E09000007,2023-02-06,7,79480,2,74616,5,4864
ltla,Camden,E09000007,2023-02-05,10,79473,5,74614,5,4859
ltla,Camden,E09000007,2023-02-04,14,79463,11,74609,3,4854
ltla,Camden,E09000007,2023-02-03,7,79449,5,74598,2,4851
ltla,Camden,E09000007,2023-02-02,14,79442,11,74593,3,4849
ltla,Camden,E09000007,2023-02-01,9,79428,5,74582,4,4846
ltla,Camden,E09000007,2023-01-31,10,79419,6,74577,4,4842
ltla,Camden,E09000007,2023-01-30,14,79409,7,74571,7,4838
ltla,Camden,E09000007,2023-01-29,6,79395,3,74564,3,4831
ltla,Camden,E09000007,2023-01-28,4,79389,3,74561,1,4828
ltla,Camden,E09000007,2023-01-27,7,79385,5,74558,2,4827
ltla,Camden,E09000007,2023-01-26,10,79378,5,74553,5,4825
