areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Greenwich,E09000011,2023-04-12,5,99122,2,91801,3,7321
ltla,Greenwich,E09000011,2023-04-11,5,99117,4,91799,1,7318
ltla,Greenwich,E09000011,2023-04-10,9,99112,2,91795,7,7317
ltla,Greenwich,E09000011,2023-04-09,6,99103,5,91793,1,7310
ltla,Greenwich,E09000011,2023-04-08,3,99097,2,91788,1,7309
ltla,Greenwich,E09000011,2023-04-07,4,99094,3,91786,1,7308
ltla,Greenwich,E09000011,2023-04-06,11,99090,8,91783,3,7307
ltla,Greenwich,E09000011,2023-04-05,3,99079,2,91775,1,7304
ltla,Greenwich,E09000011,2023-04-04,10,99076,3,91773,7,7303
ltla,Greenwich,E09000011,2023-04-03,2,99066,0,91770,2,99066
ltla,Greenwich,E09000011,2023-04-02,6,99064,1,91770,5,7294
ltla,Greenwich,E09000011,2023-04-01,7,99058,4,91769,3,7289
ltla,Greenwich,E09000011,2023-03-31,5,99051,1,91765,4,7286
ltla,Greenwich,E09000011,2023-03-30,7,99046,4,91764,3,7282
ltla,Greenwich,E09000011,2023-03-29,9,99039,4,91760,5,7279
ltla,Greenwich,E09000011,2023-03-28,7,99030,2,91756,5,7274
ltla,Greenwich,E09000011,2023-03-27,7,99023,1,91754,6,7269
ltla,Greenwich,E09000011,2023-03-26,8,99016,6,91753,2,7263
ltla,Greenwich,E09000011,2023-03-25,6,99008,2,91747,4,7261
ltla,Greenwich,E09000011,2023-03-24,13,99002,9,91745,4,7257
ltla,Greenwich,E09000011,2023-03-23,18,98989,13,91736,5,7253
ltla,Greenwich,E09000011,2023-03-22,12,98971,7,91723,5,7248
ltla,Greenwich,E09000011,2023-03-21,14,98959,6,91716,8,7243
ltla,Greenwich,E09000011,2023-03-20,6,98945,5,91710,1,7235
ltla,Greenwich,E09000011,2023-03-19,5,98939,4,91705,1,7234
ltla,Greenwich,E09000011,2023-03-18,8,98934,5,91701,3,7233
ltla,Greenwich,E09000011,2023-03-17,8,98926,5,91696,3,7230
ltla,Greenwich,E09000011,2023-03-16,10,98918,4,91691,6,7227
ltla,Greenwich,E09000011,2023-03-15,8,98908,5,91687,3,7221
ltla,Greenwich,E09000011,2023-03-14,32,98900,19,91682,13,7218
ltla,Greenwich,E09000011,2023-03-13,32,98868,18,91663,14,7205
ltla,Greenwich,E09000011,2023-03-12,15,98836,12,91645,3,7191
ltla,Greenwich,E09000011,2023-03-11,8,98821,6,91633,2,7188
ltla,Greenwich,E09000011,2023-03-10,33,98813,15,91627,18,7186
ltla,Greenwich,E09000011,2023-03-09,19,98780,10,91612,9,7168
ltla,Greenwich,E09000011,2023-03-08,16,98761,10,91602,6,7159
ltla,Greenwich,E09000011,2023-03-07,15,98745,8,91592,7,7153
ltla,Greenwich,E09000011,2023-03-06,14,98730,9,91584,5,7146
ltla,Greenwich,E09000011,2023-03-05,14,98716,7,91575,7,7141
ltla,Greenwich,E09000011,2023-03-04,9,98702,6,91568,3,7134
ltla,Greenwich,E09000011,2023-03-03,9,98693,4,91562,5,7131
ltla,Greenwich,E09000011,2023-03-02,13,98684,10,91558,3,7126
ltla,Greenwich,E09000011,2023-03-01,13,98671,8,91548,5,7123
ltla,Greenwich,E09000011,2023-02-28,13,98658,5,91540,8,7118
