areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Lewisham,E09000023,2023-04-12,4,104921,2,97227,2,7694
ltla,Lewisham,E09000023,2023-04-11,6,104917,3,97225,3,7692
ltla,Lewisham,E09000023,2023-04-10,2,104911,2,97222,0,7689
ltla,Lewisham,E09000023,2023-04-09,2,104909,2,97220,0,7689
ltla,Lewisham,E09000023,2023-04-08,7,104907,5,97218,2,7689
ltla,Lewisham,E09000023,2023-04-07,3,104900,2,97213,1,7687
ltla,Lewisham,E09000023,2023-04-06,5,104897,2,97211,3,7686
ltla,Lewisham,E09000023,2023-04-05,4,104892,2,97209,2,7683
ltla,Lewisham,E09000023,2023-04-04,10,104888,5,97207,5,7681
ltla,Lewisham,E09000023,2023-04-03,8,104878,5,97202,3,7676
ltla,Lewisham,E09000023,2023-04-02,10,104870,6,97197,4,7673
ltla,Lewisham,E09000023,2023-04-01,8,104860,7,97191,1,7669
ltla,Lewisham,E09000023,2023-03-31,8,104852,3,97184,5,7668
ltla,Lewisham,E09000023,2023-03-30,6,104844,6,97181,0,7663
ltla,Lewisham,E09000023,2023-03-29,10,104838,7,97175,3,7663
ltla,Lewisham,E09000023,2023-03-28,10,104828,4,97168,6,7660
ltla,Lewisham,E09000023,2023-03-27,6,104818,2,97164,4,7654
ltla,Lewisham,E09000023,2023-03-26,10,104812,5,97162,5,7650
ltla,Lewisham,E09000023,2023-03-25,12,104802,9,97157,3,7645
ltla,Lewisham,E09000023,2023-03-24,5,104790,2,97148,3,7642
ltla,Lewisham,E09000023,2023-03-23,7,104785,4,97146,3,7639
ltla,Lewisham,E09000023,2023-03-22,13,104778,6,97142,7,7636
ltla,Lewisham,E09000023,2023-03-21,10,104765,9,97136,1,7629
ltla,Lewisham,E09000023,2023-03-20,10,104755,7,97127,3,7628
ltla,Lewisham,E09000023,2023-03-19,7,104745,3,97120,4,7625
ltla,Lewisham,E09000023,2023-03-18,8,104738,4,97117,4,7621
ltla,Lewisham,E09000023,2023-03-17,12,104730,8,97113,4,7617
ltla,Lewisham,E09000023,2023-03-16,14,104718,8,97105,6,7613
ltla,Lewisham,E09000023,2023-03-15,14,104704,9,97097,5,7607
ltla,Lewisham,E09000023,2023-03-14,10,104690,6,97088,4,7602
ltla,Lewisham,E09000023,2023-03-13,23,104680,19,97082,4,7598
ltla,Lewisham,E09000023,2023-03-12,13,104657,6,97063,7,7594
ltla,Lewisham,E09000023,2023-03-11,10,104644,5,97057,5,7587
ltla,Lewisham,E09000023,2023-03-10,10,104634,5,97052,5,7582
ltla,Lewisham,E09000023,2023-03-09,18,104624,11,97047,7,7577
ltla,Lewisham,E09000023,2023-03-08,10,104606,4,97036,6,7570
ltla,Lewisham,E09000023,2023-03-07,16,104596,12,97032,4,7564
ltla,Lewisham,E09000023,2023-03-06,24,104580,14,97020,10,7560
ltla,Lewisham,E09000023,2023-03-05,8,104556,1,97006,7,7550
ltla,Lewisham,E09000023,2023-03-04,17,104548,10,97005,7,7543
ltla,Lewisham,E09000023,2023-03-03,6,104531,3,96995,3,7536
ltla,Lewisham,E09000023,2023-03-02,13,104525,4,96992,9,7533
ltla,Lewisham,E09000023,2023-03-01,13,104512,6,96988,7,7524
ltla,Lewisham,E09000023,2023-02-28,21,104499,11,96982,10,7517
ltla,Lewisham,E09000023,2023-02-27,21,104478,8,96971,13,7507
ltla,Lewisham,E09000023,2023-02-26,9,104457,4,96963,5,7494
ltla,Lewisham,E09000023,2023-02-25,14,104448,7,96959,7,7489
ltla,Lewisham,E09000023,2023-02-24,7,104434,4,96952,3,7482
ltla,Lewisham,E09000023,2023-02-23,7,104427,2,96948,5,7479
ltla,Lewisham,E09000023,2023-02-22,10,104420,6,96946,4,7474
ltla,Lewisham,E09000023,2023-02-21,24,104410,19,96940,5,7470
ltla,Lewisham,E09000023,2023-02-20,17,104386,6,96921,11,7465
ltla,Lewisham,E09000023,2023-02-19,16,104369,7,96915,9,7454
ltla,Lewisham,E09000023,2023-02-18,15,104353,10,96908,5,7445
