areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
ltla,Hackney and City of London,E09000012,2023-04-12,1,97533,0,90548,1,6985
ltla,Hackney and City of London,E09000012,2023-04-11,6,97532,2,90548,4,6984
ltla,Hackney and City of London,E09000012,2023-04-10,4,97526,1,90546,3,6980
ltla,Hackney and City of London,E09000012,2023-04-09,1,97522,0,90545,1,97522
ltla,Hackney and City of London,E09000012,2023-04-08,5,97521,4,90545,1,6976
ltla,Hackney and City of London,E09000012,2023-04-07,5,97516,3,90541,2,6975
ltla,Hackney and City of London,E09000012,2023-04-06,9,97511,5,90538,4,6973
ltla,Hackney and City of London,E09000012,2023-04-05,3,97502,3,90533,0,6969
ltla,Hackney and City of London,E09000012,2023-04-04,5,97499,4,90530,1,6969
ltla,Hackney and City of London,E09000012,2023-04-03,7,97494,2,90526,5,6968
ltla,Hackney and City of London,E09000012,2023-04-02,6,97487,3,90524,3,6963
ltla,Hackney and City of London,E09000012,2023-04-01,2,97481,1,90521,1,6960
ltla,Hackney and City of London,E09000012,2023-03-31,5,97479,3,90520,2,6959
ltla,Hackney and City of London,E09000012,2023-03-30,6,97474,6,90517,0,6957
ltla,Hackney and City of London,E09000012,2023-03-29,4,97468,2,90511,2,6957
ltla,Hackney and City of London,E09000012,2023-03-28,5,97464,3,90509,2,6955
ltla,Hackney and City of London,E09000012,2023-03-27,7,97459,5,90506,2,6953
ltla,Hackney and City of London,E09000012,2023-03-26,0,97452,0,90501,0,6951
ltla,Hackney and City of London,E09000012,2023-03-25,4,97452,3,90501,1,6951
ltla,Hackney and City of London,E09000012,2023-03-24,8,97448,4,90498,4,6950
ltla,Hackney and City of London,E09000012,2023-03-23,8,97440,6,90494,2,6946
ltla,Hackney and City of London,E09000012,2023-03-22,6,97432,4,90488,2,6944
ltla,Hackney and City of London,E09000012,2023-03-21,9,97426,7,90484,2,6942
ltla,Hackney and City of London,E09000012,2023-03-20,8,97417,7,90477,1,6940
ltla,Hackney and City of London,E09000012,2023-03-19,10,97409,7,90470,3,6939
ltla,Hackney and City of London,E09000012,2023-03-18,10,97399,7,90463,3,6936
