"data","stato","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","totale_casi"
"2020-02-28T18:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,3
"2020-02-28T18:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,0
"2020-02-28T18:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,3
"2020-02-28T18:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,29
"2020-02-28T18:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,103
"2020-02-28T18:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,13
"2020-02-28T18:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,49
"2020-02-28T18:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,123
"2020-02-28T18:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0
"2020-02-28T18:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,0
"2020-02-28T18:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,182
"2020-02-28T18:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,6
"2020-02-28T18:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,20
"2020-02-29T17:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,4
"2020-02-29T17:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,1
"2020-02-29T17:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,3
"2020-02-29T17:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,30
"2020-02-29T17:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,110
"2020-02-29T17:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,14
"2020-02-29T17:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,55
"2020-02-29T17:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,136
"2020-02-29T17:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,1
"2020-02-29T17:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,0
"2020-02-29T17:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,237
"2020-02-29T17:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,6
"2020-02-29T17:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,18
"2020-03-01T17:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,4
"2020-03-01T17:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,2
"2020-03-01T17:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,3
"2020-03-01T17:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,46
"2020-03-01T17:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,209
"2020-03-01T17:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,49
"2020-03-01T17:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,78
"2020-03-01T17:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,214
"2020-03-01T17:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,4
"2020-03-01T17:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,2
"2020-03-01T17:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,344
"2020-03-01T17:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,6
"2020-03-01T17:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,23
"2020-03-02T17:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,4
"2020-03-02T17:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,2
"2020-03-02T17:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,3
"2020-03-02T17:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,58
"2020-03-02T17:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,243
"2020-03-02T17:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,60
"2020-03-02T17:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,83
"2020-03-02T17:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,223
"2020-03-02T17:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,5
"2020-03-02T17:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,3
"2020-03-02T17:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,384
"2020-03-02T17:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,8
"2020-03-02T17:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,178
"2020-03-03T17:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,7
"2020-03-03T17:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,4
"2020-03-03T17:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,3
"2020-03-03T17:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,93
"2020-03-03T17:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,372
"2020-03-03T17:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,86
"2020-03-03T17:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,122
"2020-03-03T17:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,287
"2020-03-03T17:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,15
"2020-03-03T17:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,4
"2020-03-03T17:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,482
"2020-03-03T17:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,9
"2020-03-03T17:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,36
"2020-03-04T17:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,11
"2020-03-04T17:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,5
"2020-03-04T17:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,4
"2020-03-04T17:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,145
"2020-03-04T17:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,423
"2020-03-04T17:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,127
"2020-03-04T17:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,126
"2020-03-04T17:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,333
"2020-03-04T17:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,22
"2020-03-04T17:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,5
"2020-03-04T17:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,559
"2020-03-04T17:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,11
"2020-03-04T17:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,49
"2020-03-05T17:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,17
"2020-03-05T17:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,11
"2020-03-05T17:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,4
"2020-03-05T17:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,197
"2020-03-05T17:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,537
"2020-03-05T17:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,155
"2020-03-05T17:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,151
"2020-03-05T17:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,406
"2020-03-05T17:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,26
"2020-03-05T17:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,8
"2020-03-05T17:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,658
"2020-03-05T17:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,19
"2020-03-05T17:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,62
"2020-03-06T18:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,23
"2020-03-06T18:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,11
"2020-03-06T18:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,4
"2020-03-06T18:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,267
"2020-03-06T18:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,623
"2020-03-06T18:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,182
"2020-03-06T18:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,180
"2020-03-06T18:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,452
"2020-03-06T18:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,32
"2020-03-06T18:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,11
"2020-03-06T18:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,739
"2020-03-06T18:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,20
"2020-03-06T18:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,68
"2020-03-07T18:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,27
"2020-03-07T18:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,23
