"data","stato","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","totale_casi"
"2020-03-03T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-03-04T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-03-04T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-04T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,29
"2020-03-04T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-03-04T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,1
"2020-03-04T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-03-05T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,0
"2020-03-05T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-05T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,42
"2020-03-05T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,0
"2020-03-05T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,1
"2020-03-05T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,1
"2020-03-06T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,2
"2020-03-06T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-06T18:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,49
"2020-03-06T18:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,2
"2020-03-06T18:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,1
"2020-03-06T18:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-03-07T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,2
"2020-03-07T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-07T18:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,71
"2020-03-07T18:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,2
"2020-03-07T18:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,1
"2020-03-07T18:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-03-08T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,2
"2020-03-08T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-08T18:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,77
"2020-03-08T18:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,6
"2020-03-08T18:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,2
"2020-03-08T18:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,0
"2020-03-09T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,2
"2020-03-09T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,0
"2020-03-09T18:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,91
"2020-03-09T18:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,6
"2020-03-09T18:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,2
"2020-03-09T18:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,1
"2020-03-10T18:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,5
"2020-03-10T18:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,1
"2020-03-10T18:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,76
"2020-03-10T18:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,11
"2020-03-10T18:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,6
"2020-03-10T18:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,17
"2020-03-11T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,10
"2020-03-11T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,3
"2020-03-11T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,99
"2020-03-11T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,11
"2020-03-11T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,8
"2020-03-11T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,19
"2020-03-12T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,5
"2020-03-12T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,2
"2020-03-12T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,162
"2020-03-12T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,11
"2020-03-12T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,18
"2020-03-12T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,2
"2020-03-13T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,10
"2020-03-13T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,3
"2020-03-13T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,218
"2020-03-13T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,15
"2020-03-13T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,28
"2020-03-13T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,3
"2020-03-14T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,13
"2020-03-14T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,3
"2020-03-14T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,288
"2020-03-14T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,20
"2020-03-14T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,28
