area_code,year,quarter,mean_rent_per_month,median_rent_per_month,area_code_21
E02000170,2016,4,2260.927083,1842.0,E02000170
E02000171,2016,4,2005.575,1842.0,E02000171
E02000172,2016,4,1797.444444,1603.0,E02000172
E02000173,2016,4,2557.107843,2058.0,E02000173
E02000174,2016,4,1892.893617,1690.0,E02000174
E02000175,2016,4,1697.77193,1647.0,E02000175
E02000176,2016,4,2345.458824,1831.0,E02000176
E02000177,2016,4,1803.777778,1821.0,E02000177
E02000178,2016,4,1647.802198,1560.0,E02000178
E02000179,2016,4,2289.75,2080.0,E02000179
E02000180,2016,4,2375.197531,2600.0,E02000180
E02000181,2016,4,2187.889908,1733.0,E02000181
E02000182,2016,4,2471.886792,2145.0,E02000182
E02000183,2016,4,3165.822222,2318.5,E02000183
E02000184,2016,4,1756.833333,1517.0,E02000184
E02000185,2016,4,1920.22,1646.0,E02000185
E02000186,2016,4,2434.882353,2383.0,E02000186
E02000187,2016,4,1855.121212,2015.0,E02000187
E02000188,2016,4,1950.133333,1842.0,E02000188
E02000189,2016,4,1953.9,2167.0,E02007115
E02000190,2016,4,1748.755556,1722.5,E02007115
E02000191,2016,4,2130.0,2166.0,E02000191
E02000192,2016,4,2242.130435,2221.0,E02000192
E02000193,2016,4,2213.075,2015.0,E02000193
E02000194,2016,4,1180.666667,1050.0,E02000194
E02000195,2016,4,1163.222222,1250.0,E02000195
E02000196,2016,4,1252.526316,1000.0,E02000196
E02000197,2016,4,1336.617647,1275.0,E02000197
E02000198,2016,4,1378.136364,1395.0,E02000198
E02000199,2016,4,1078.852941,915.0,E02000199
E02000200,2016,4,1028.142857,1012.5,E02000200
E02000201,2016,4,1151.790698,950.0,E02000201
E02000202,2016,4,1375.357143,1400.0,E02000202
E02000203,2016,4,1022.263158,1100.0,E02000203
E02000204,2016,4,994.2105263,1000.0,E02000204
E02000206,2016,4,1106.780488,1000.0,E02000206
E02000207,2016,4,1182.571429,1162.5,E02000207
E02000208,2016,4,1165.461538,1250.0,E02000208
E02000209,2016,4,1326.208333,1450.0,E02000209
E02000210,2016,4,1237.603448,1300.0,E02000210
E02000212,2016,4,1133.571429,1300.0,E02000212
E02000213,2016,4,1011.79661,1000.0,E02000213
E02000214,2016,4,1406.071429,1550.0,E02000214
E02000215,2016,4,1134.802632,1150.0,E02000215
E02000216,2016,4,1260.390625,1200.0,E02000216
E02000217,2016,4,1094.222222,1100.0,E02000217
E02000220,2016,4,1118.34127,1050.0,E02006987
E02000221,2016,4,1087.0,1100.0,E02000221
E02000222,2016,4,1101.180556,1100.0,E02000222
E02000224,2016,4,982.7954545,1040.0,E02000224
E02000227,2016,4,1258.478261,1222.5,E02000227
E02000228,2016,4,1663.823529,1810.0,E02000228
E02000230,2016,4,1264.423077,1225.0,E02000230
E02000234,2016,4,1298.409091,1250.0,E02000234
E02000238,2016,4,1322.8125,1385.0,E02000238
E02000239,2016,4,1584.774194,1650.0,E02000239
E02000240,2016,4,1484.4,1550.0,E02000240
E02000241,2016,4,1396.714286,1550.0,E02000241
E02000242,2016,4,1121.461538,1070.0,E02000242
E02000243,2016,4,1305.5,1196.0,E02000243
E02000244,2016,4,1291.058824,1295.0,E02000244
E02000245,2016,4,1086.071429,1150.0,E02000245
E02000246,2016,4,1365.470588,1325.0,E02000246
E02000247,2016,4,1254.0,1300.0,E02000247
E02000248,2016,4,1437.439024,1400.0,E02000248
E02000249,2016,4,1325.869565,1337.5,E02000249
E02000250,2016,4,1570.894737,1424.0,E02000250
E02000251,2016,4,1699.055556,1725.0,E02000251
E02000252,2016,4,1477.431373,1321.5,E02000252
E02000253,2016,4,1754.133333,1813.0,E02000253
E02000254,2016,4,916.4583333,700.0,E02000254
E02000255,2016,4,1656.774194,1501.0,E02000255
E02000256,2016,4,1503.127273,1423.5,E02000256
E02000257,2016,4,1779.598131,1599.0,E02006968
E02000258,2016,4,1637.25,1450.0,E02000258
